UCIAMS_Number,Species,Taxon,del15N_permil,del13C_permil,14C_age_BP,Community
216772,O. beecheyi,Otospermophilus,3.8,-20.7,2375,2
223494,Sylvilagus sp,Sylvilagus,6.2,-18.8,2650,2
223493,O. beecheyi,Otospermophilus,9.9,-18.5,5166,2
216760,S. audubonii,Sylvilagus,3.6,-20.8,5925,2
223528,O. beecheyi,Otospermophilus,4.4,-18.6,6155,2
216761,O. beecheyi,Otospermophilus,5.9,-21.1,11105,2
216766,S. audubonii,Sylvilagus,7.6,-22,13990,2
216767,S. bachmani,Sylvilagus,4.9,-21.9,14390,2
223513,Sylvilagus sp,Sylvilagus,7.2,-21.3,25830,1
198298,O. beecheyi,Otospermophilus,7,-20.9,26310,1
223516,Sylvilagus sp,Sylvilagus,7.9,-20.9,26780,1
223521,O. beecheyi,Otospermophilus,6.4,-20.3,26940,1
223524,Sylvilagus sp,Sylvilagus,7.2,-20.9,28090,1
223529,O. beecheyi,Otospermophilus,9.4,-19.3,28370,1
217078,S. bachmani,Sylvilagus,8.2,-22.3,28500,1
216765,S. audubonii,Sylvilagus,8.4,-21.3,28600,1
216771,S. audubonii,Sylvilagus,6.9,-22.5,30320,1
223526,Sylvilagus sp,Sylvilagus,8.1,-21.2,30540,1
198302,O. beecheyi,Otospermophilus,6.7,-20.2,30870,1
216780,O. beecheyi,Otospermophilus,4.5,-21.4,30900,1
216781,O. beecheyi,Otospermophilus,6.6,-21.5,30970,1
216779,O. beecheyi,Otospermophilus,5.3,-20.7,31000,1
223507,Sylvilagus sp,Sylvilagus,6.4,-22.2,31230,1
216773,O. beecheyi,Otospermophilus,6.3,-20.4,31340,1
223525,Sylvilagus sp,Sylvilagus,8.6,-21.1,31460,1
198207,O. beecheyi,Otospermophilus,8.5,-20.9,31830,1
223508,S. audubonii,Sylvilagus,9.4,-21.1,31980,1
198201,O. beecheyi,Otospermophilus,7.6,-20.4,32500,1
223509,O. beecheyi,Otospermophilus,6.2,-21.2,32660,1
198295,O. beecheyi,Otospermophilus,8.8,-20.8,33070,1
198203,O. beecheyi,Otospermophilus,4,-21,33100,1
223505,S. audubonii,Sylvilagus,7.3,-21.9,33260,1
223499,Sylvilagus sp,Sylvilagus,4.2,-21.5,33590,1
191099,S. audubonii,Sylvilagus,9.1,-21.1,33830,1
223498,O. beecheyi,Otospermophilus,8.7,-21.2,34800,1
191097,S. bachmani,Sylvilagus,6.7,-22.4,35150,1
223500,O. beecheyi,Otospermophilus,3.7,-21,35230,1
223501,O. beecheyi,Otospermophilus,3.9,-21.2,35270,1
191102,S. audubonii,Sylvilagus,7.3,-21.3,35420,1
191096,S. bachmani,Sylvilagus,4.5,-22.5,35440,1
216770,S. bachmani,Sylvilagus,6.9,-22.1,35740,1
191095,S. audubonii,Sylvilagus,8.4,-21.3,35750,1
191100,S. audubonii,Sylvilagus,7.3,-21.5,35780,1
223527,Sylvilagus sp,Sylvilagus,4.5,-21.3,35870,1
198202,O. beecheyi,Otospermophilus,4.4,-21.4,35900,1
191098,S. audubonii,Sylvilagus,7.4,-21.4,36050,1
198204,O. beecheyi,Otospermophilus,3.8,-21.1,36160,1
223506,Sylvilagus sp,Sylvilagus,8.2,-21.2,36260,1
216764,S. audubonii,Sylvilagus,6.9,-21,36350,1
198205,O. beecheyi,Otospermophilus,7,-20.7,36580,1
223517,Sylvilagus sp,Sylvilagus,7.2,-21.4,36870,1
216763,S. audubonii,Sylvilagus,7.6,-21.4,36880,1
223495,Sylvilagus sp,Sylvilagus,5.6,-21.5,38740,1
223497,Sylvilagus sp,Sylvilagus,7,-22,39240,1
198294,S. bachmani,Sylvilagus,5.5,-20.9,39700,1
223496,O. beecheyi,Otospermophilus,6.2,-20.9,40640,1
216768,S. audubonii,Sylvilagus,7.8,-21.8,41000,1
216784,Sylvilagus sp,Sylvilagus,5.6,-21.7,41500,1
216783,Leporidae,Sylvilagus,4.9,-21.6,42600,1
216769,S. audubonii,Sylvilagus,5.2,-21.3,42900,1
216762,O. beecheyi,Otospermophilus,4.5,-21.2,43700,1
223502,Sylvilagus sp,Sylvilagus,7.2,-21.4,44000,1
191101,S. audubonii,Sylvilagus,8.1,-20.5,46200,1
217079,Sylvilagus sp,Sylvilagus,6.6,-21.4,46200,1
223503,Sylvilagus sp,Sylvilagus,5.7,-21.4,46200,1
198296,O. beecheyi,Otospermophilus,3.2,-19.3,47400,1
223504,O. beecheyi,Otospermophilus,6.8,-20.1,47400,1
223518,Sylvilagus sp,Sylvilagus,6.9,-21.7,49800,1
216785,Sylvilagus sp,Sylvilagus ,5.3,-22.1,50200,1
