"UCIAMS_Number"	"Original_sample_name"	"Museum_Number"	"Other_ID"	"SampleType"	"d13C_permil"	"d13C_error"	"fraction_Modern"	"fraction_Modern_error"	"D14C_permil"	"D14C_error"	"X14C_age_BP"	"X14C_age_error"	"Original_data_sheet"	"Sample_Notes"	"UseSample"	"Other_Notes"	"prelim_taxon_name"	"box"
"1"	191095	"P23-5233 Dep1 B-2 L2 sylvilagus"	"LACMP23-5233"	NA	"mammal"	-21.3	0.1	0.0117	9e-04	-988.3	0.9	"35750"	610	"FoxBloisJul16_17.xls"	""	"Y"	""	"Sylvilagus audubonii"	"1 - misc"
"2"	191096	"P23-18270 Dep1 A-2 L5 sylvilagus"	"LACMP23-18270"	NA	"mammal"	-22.5	0.1	0.0121	9e-04	-987.9	0.9	"35440"	580	"FoxBloisJul16_17.xls"	""	"Y"	""	"Sylvilagus bachmani"	"1 - misc"
"3"	191097	"P23-22009 Dep1 A-2 L4 sylvilagus"	"LACMP23-22009"	NA	"mammal"	-22.4	0.1	0.0126	9e-04	-987.4	0.9	"35150"	580	"FoxBloisJul16_17.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"Sylvilagus cf bachmani"	"1 - misc"
"4"	191098	"P23-25476 Dep1 A-2 L4 sylvilagus"	"LACMP23-25476"	NA	"mammal"	-21.4	0.1	0.0112	9e-04	-988.8	0.9	"36050"	630	"FoxBloisJul16_17.xls"	""	"Y"	""	"Sylvilagus audubonii"	"1 - misc"
"5"	191099	"P23-28903 Dep1 A-1 L7 sylvilagus"	"LACMP23-28903"	NA	"mammal"	-21.1	0.1	0.0148	9e-04	-985.2	0.9	"33830"	480	"FoxBloisJul16_17.xls"	""	"Y"	""	"Sylvilagus cf auduboni"	"1 - misc"
"7"	191101	"P23-31269 Dep1 B-4 L3 sylvilagus"	"LACMP23-31269"	NA	"mammal"	-20.5	0.1	0.0032	9e-04	-996.8	0.9	"46200"	2200	"FoxBloisJul16_17.xls"	""	"Y"	""	"Sylvilagus audubonii"	"1 - misc"
"8"	191102	"P23-31423 Dep1 B-2 L2 sylvilagus"	"LACMP23-31423"	NA	"mammal"	-21.3	0.1	0.0122	9e-04	-987.8	0.9	"35420"	580	"FoxBloisJul16_17.xls"	""	"Y"	""	"Sylvilagus ?audubonii"	"1 - misc"
"9"	191103	"P23-31033 Dep14 D-2 L4 sylvilagus .32mgC"	"LACMP23-31033"	NA	"mammal"	-21.7	0.1	-0.0011	-0.0013	-1001.1	-1.3	">47800"	NA	"FoxBloisJul16_17.xls"	"14C/C ratios for the P23-31033, P23-31036, P23-31056 samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	"Y"	""	"Sylvilagus audubonii"	"14 - misc"
"10"	191104	"P23-31036 Dep14 C-2 L7 sylvilagus"	"LACMP23-31036"	NA	"mammal"	-22.3	0.1	2e-04	9e-04	-999.8	0.9	">49900"	NA	"FoxBloisJul16_17.xls"	"14C/C ratios for the P23-31033, P23-31036, P23-31056 samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	"Y"	""	"Sylvilagus bachmani"	"14 - misc"
"11"	191105	"P23-31056 Dep14 D-3 L6 sylvilagus"	"LACMP23-31056"	NA	"mammal"	-21.7	0.1	2e-04	9e-04	-999.8	0.9	">49900"	NA	"FoxBloisJul16_17.xls"	"14C/C ratios for the P23-31033, P23-31036, P23-31056 samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	"Y"	""	"Sylvilagus audubonii"	"14 - misc"
